"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","0","18.6","24.6","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Lun 2","0","19.0","24.3","https://www.3bmeteo.com/images/set_icone/10/47.png","#1461A1","mm"
"Mar 3","0","20.2","25.2","https://www.3bmeteo.com/images/set_icone/10/2.png","#1461A1","mm"
"Mer 4","0","18.6","23.7","https://www.3bmeteo.com/images/set_icone/10/2.png","#1461A1","mm"
"Gio 5","0","20.2","23.2","https://www.3bmeteo.com/images/set_icone/10/47.png","#1461A1","mm"
"Ven 6","0","20.7","24.9","https://www.3bmeteo.com/images/set_icone/10/47.png","#1461A1","mm"
"Sab 7","0","19.3","25.0","https://www.3bmeteo.com/images/set_icone/10/2.png","#1461A1","mm"
"Dom 8","0","20.5","24.8","https://www.3bmeteo.com/images/set_icone/10/2.png","#1461A1","mm"
"Lun 9","0","18.0","26.6","https://www.3bmeteo.com/images/set_icone/10/1.png","#1461A1","mm"
"Mar 10","0","22.3","28.2","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Mer 11","0","21.1","26.7","https://www.3bmeteo.com/images/set_icone/10/1.png","#1461A1","mm"
"Gio 12","0","20.6","28.6","https://www.3bmeteo.com/images/set_icone/10/50.png","#1461A1","mm"
"Ven 13","0","22.4","29.6","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Sab 14","0","24.7","30.8","https://www.3bmeteo.com/images/set_icone/10/50.png","#1461A1","mm"
"Dom 15","0","24.4","30.2","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Lun 16","0","22.8","29.4","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Mar 17","0","23.1","30.5","https://www.3bmeteo.com/images/set_icone/10/51.png","#1461A1","mm"
"Mer 18","0","24.1","32.6","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Gio 19","0","23.6","30.6","https://www.3bmeteo.com/images/set_icone/10/1.png","#1461A1","mm"
"Ven 20","0","22.9","29.7","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Sab 21","13.4","22.8","29.3","https://www.3bmeteo.com/images/set_icone/10/5.png","#1461A1","mm"
"Dom 22","0","21.5","30.7","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Lun 23","0","22.5","28.5","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Mar 24","0","23.2","28.1","https://www.3bmeteo.com/images/set_icone/10/47.png","#1461A1","mm"
"Mer 25","0","23.1","30.2","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Gio 26","0","22.9","29.4","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Ven 27","0","22.7","30.6","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Sab 28","0","26.6","33.7","https://www.3bmeteo.com/images/set_icone/10/1.png","#1461A1","mm"
"Dom 29","0","27.0","34.8","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Lun 30","0","27.7","35.0","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
