"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","0","28.5","33.8","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Mer 2","0","26.4","35.7","https://www.3bmeteo.com/images/set_icone/10/50.png","#1461A1","mm"
"Gio 3","0","25.9","32.8","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Ven 4","0","26.1","32.2","https://www.3bmeteo.com/images/set_icone/10/50.png","#1461A1","mm"
"Sab 5","0","25.3","31.3","https://www.3bmeteo.com/images/set_icone/10/2.png","#1461A1","mm"
"Dom 6","12.2","21.4","28.3","https://www.3bmeteo.com/images/set_icone/10/8.png","#1461A1","mm"
"Lun 7","20.8","17.1","28.4","https://www.3bmeteo.com/images/set_icone/10/5.png","#1461A1","mm"
"Mar 8","0","17.9","28.3","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Mer 9","0","21.2","27.1","https://www.3bmeteo.com/images/set_icone/10/1.png","#1461A1","mm"
"Gio 10","0","19.7","27.7","https://www.3bmeteo.com/images/set_icone/10/1.png","#1461A1","mm"
"Ven 11","0","20.2","27.7","https://www.3bmeteo.com/images/set_icone/10/1.png","#1461A1","mm"
"Sab 12","0","19.7","27.7","https://www.3bmeteo.com/images/set_icone/10/44.png","#1461A1","mm"
"Dom 13","58.2","18.9","25.3","https://www.3bmeteo.com/images/set_icone/10/5.png","#1461A1","mm"
"Lun 14","data-tipo13=pioggia","nd","nd","","#1461A1","mm"
"Mar 15","data-tipo14=pioggia","nd","nd","","#1461A1","mm"
"Mer 16","data-tipo15=pioggia","nd","nd","","#1461A1","mm"
"Gio 17","data-tipo16=pioggia","nd","nd","","#1461A1","mm"
"Ven 18","data-tipo17=pioggia","nd","nd","","#1461A1","mm"
"Sab 19","data-tipo18=pioggia","nd","nd","","#1461A1","mm"
"Dom 20","data-tipo19=pioggia","nd","nd","","#1461A1","mm"
"Lun 21","data-tipo20=pioggia","nd","nd","","#1461A1","mm"
"Mar 22","data-tipo21=pioggia","nd","nd","","#1461A1","mm"
"Mer 23","data-tipo22=pioggia","nd","nd","","#1461A1","mm"
"Gio 24","data-tipo23=pioggia","nd","nd","","#1461A1","mm"
"Ven 25","data-tipo24=pioggia","nd","nd","","#1461A1","mm"
"Sab 26","data-tipo25=pioggia","nd","nd","","#1461A1","mm"
"Dom 27","data-tipo26=pioggia","nd","nd","","#1461A1","mm"
"Lun 28","data-tipo27=pioggia","nd","nd","","#1461A1","mm"
"Mar 29","data-tipo28=pioggia","nd","nd","","#1461A1","mm"
"Mer 30","data-tipo29=pioggia","nd","nd","","#1461A1","mm"
