// Time;RH1;Temp1
17 giu 2025, 00:00:00;71,40;26,38
17 giu 2025, 01:00:00;71,11;26,37
17 giu 2025, 02:00:00;70,32;26,30
17 giu 2025, 03:00:00;68,39;26,20
17 giu 2025, 04:00:00;67,07;26,12
17 giu 2025, 05:00:00;66,03;26,09
17 giu 2025, 06:00:00;63,74;26,04
17 giu 2025, 07:00:00;55,25;25,81
17 giu 2025, 08:00:00;54,17;25,65
17 giu 2025, 09:00:00;54,09;25,54
17 giu 2025, 10:00:00;54,02;25,59
17 giu 2025, 11:00:00;54,26;25,74
17 giu 2025, 12:00:00;54,77;25,93
17 giu 2025, 13:00:00;54,97;26,10
17 giu 2025, 14:00:00;53,12;26,18
17 giu 2025, 15:00:00;51,36;26,21
17 giu 2025, 16:00:00;49,97;26,29
17 giu 2025, 17:00:00;48,82;26,38
17 giu 2025, 18:00:00;47,94;26,41
17 giu 2025, 19:00:00;49,31;26,31
17 giu 2025, 20:00:00;50,35;26,32
17 giu 2025, 21:00:00;50,99;26,31
17 giu 2025, 22:00:00;51,60;26,29
17 giu 2025, 23:00:00;52,21;26,24
18 giu 2025, 00:00:00;52,55;26,20
18 giu 2025, 01:00:00;52,74;26,13
18 giu 2025, 02:00:00;52,93;26,11
18 giu 2025, 03:00:00;52,87;26,03
18 giu 2025, 04:00:00;52,74;26,03
18 giu 2025, 05:00:00;52,73;26,08
18 giu 2025, 06:00:00;50,54;26,15
18 giu 2025, 07:00:00;48,60;26,15
18 giu 2025, 08:00:00;48,33;26,20
18 giu 2025, 09:00:00;48,13;26,28
18 giu 2025, 10:00:00;49,24;26,43
18 giu 2025, 11:00:00;50,26;26,59
18 giu 2025, 12:00:00;51,36;26,73
18 giu 2025, 13:00:00;51,75;26,87
18 giu 2025, 14:00:00;51,48;26,99
18 giu 2025, 15:00:00;51,17;27,09
18 giu 2025, 16:00:00;50,30;27,20
18 giu 2025, 17:00:00;49,94;27,28
18 giu 2025, 18:00:00;52,87;27,20
18 giu 2025, 19:00:00;53,73;26,98
18 giu 2025, 20:00:00;53,73;26,94
18 giu 2025, 21:00:00;54,05;26,91
18 giu 2025, 22:00:00;54,38;26,85
18 giu 2025, 23:00:00;54,65;26,83
19 giu 2025, 00:00:00;54,91;26,77
19 giu 2025, 01:00:00;55,13;26,75
19 giu 2025, 02:00:00;55,30;26,72
19 giu 2025, 03:00:00;55,28;26,68
19 giu 2025, 04:00:00;55,22;26,66
19 giu 2025, 05:00:00;55,09;26,59
19 giu 2025, 06:00:00;53,59;26,49
19 giu 2025, 07:00:00;49,98;26,57
19 giu 2025, 08:00:00;48,97;26,78
19 giu 2025, 09:00:00;49,10;26,95
19 giu 2025, 10:00:00;49,75;27,08
19 giu 2025, 11:00:00;51,71;27,03
19 giu 2025, 12:00:00;54,43;27,06
19 giu 2025, 13:00:00;57,86;27,43
19 giu 2025, 14:00:00;59,45;27,69
19 giu 2025, 15:00:00;59,19;27,79
19 giu 2025, 16:00:00;59,42;27,85
19 giu 2025, 17:00:00;58,30;27,82
19 giu 2025, 18:00:00;58,16;27,62
19 giu 2025, 19:00:00;58,12;27,32
19 giu 2025, 20:00:00;58,55;27,20
19 giu 2025, 21:00:00;58,73;27,14
19 giu 2025, 22:00:00;58,65;27,09
19 giu 2025, 23:00:00;58,36;27,04
20 giu 2025, 00:00:00;58,17;27,01
20 giu 2025, 01:00:00;58,07;26,97
20 giu 2025, 02:00:00;57,92;26,96
20 giu 2025, 03:00:00;57,76;26,93
20 giu 2025, 04:00:00;57,49;26,89
20 giu 2025, 05:00:00;57,25;26,87
