// Time;Sensor5;Sensor6
17 giu 2025, 00:00:00;0,00;68,22
17 giu 2025, 01:00:00;0,00;0,00
17 giu 2025, 02:00:00;27,10;69,22
17 giu 2025, 03:00:00;27,08;69,29
17 giu 2025, 04:00:00;27,05;66,98
17 giu 2025, 05:00:00;27,01;69,00
17 giu 2025, 06:00:00;26,89;68,83
17 giu 2025, 07:00:00;26,80;66,67
17 giu 2025, 08:00:00;26,33;67,54
17 giu 2025, 09:00:00;26,38;68,89
17 giu 2025, 10:00:00;26,27;66,14
17 giu 2025, 11:00:00;26,18;66,25
17 giu 2025, 12:00:00;26,11;65,96
17 giu 2025, 13:00:00;26,26;63,13
17 giu 2025, 14:00:00;25,78;66,27
17 giu 2025, 15:00:00;25,76;64,13
17 giu 2025, 16:00:00;0,00;61,90
17 giu 2025, 17:00:00;25,64;63,93
17 giu 2025, 18:00:00;25,85;63,09
17 giu 2025, 19:00:00;26,09;58,76
17 giu 2025, 20:00:00;26,02;58,97
17 giu 2025, 21:00:00;26,11;60,63
17 giu 2025, 22:00:00;26,23;58,82
17 giu 2025, 23:00:00;26,26;61,22
18 giu 2025, 00:00:00;26,18;60,22
18 giu 2025, 01:00:00;26,27;55,95
18 giu 2025, 02:00:00;26,25;59,55
18 giu 2025, 03:00:00;26,25;58,08
18 giu 2025, 04:00:00;26,23;56,24
18 giu 2025, 05:00:00;26,20;59,77
18 giu 2025, 06:00:00;26,24;54,14
18 giu 2025, 07:00:00;26,22;0,00
18 giu 2025, 08:00:00;26,04;58,87
18 giu 2025, 09:00:00;26,04;54,58
18 giu 2025, 10:00:00;26,09;52,75
18 giu 2025, 11:00:00;26,05;57,79
18 giu 2025, 12:00:00;26,05;56,62
18 giu 2025, 13:00:00;26,09;52,69
18 giu 2025, 14:00:00;26,11;0,00
18 giu 2025, 15:00:00;26,11;52,45
18 giu 2025, 16:00:00;26,07;53,40
18 giu 2025, 17:00:00;26,09;55,71
18 giu 2025, 18:00:00;26,32;53,08
18 giu 2025, 19:00:00;26,41;56,11
18 giu 2025, 20:00:00;26,31;55,55
18 giu 2025, 21:00:00;26,45;53,94
18 giu 2025, 22:00:00;26,57;55,51
18 giu 2025, 23:00:00;26,66;0,00
19 giu 2025, 00:00:00;26,66;53,88
19 giu 2025, 01:00:00;26,69;55,88
19 giu 2025, 02:00:00;26,71;53,85
19 giu 2025, 03:00:00;26,70;53,70
19 giu 2025, 04:00:00;26,84;56,04
19 giu 2025, 05:00:00;26,68;54,48
19 giu 2025, 06:00:00;26,68;54,31
19 giu 2025, 07:00:00;26,58;54,77
19 giu 2025, 08:00:00;26,40;54,17
19 giu 2025, 09:00:00;26,35;54,63
19 giu 2025, 10:00:00;0,00;0,00
19 giu 2025, 11:00:00;26,33;53,93
19 giu 2025, 12:00:00;26,42;54,68
19 giu 2025, 13:00:00;26,36;53,84
19 giu 2025, 14:00:00;26,40;54,20
